clause_id,section,source_text,human_subject,human_obligation,human_condition,human_threshold,human_deadline,human_exception,notes
OBL-0417,Article 64,The Board shall adopt its own rules of procedure by a two-thirds majority of its members and organise its own operational arrangements.,,,,,,,
OBL-0147,Article 28,The processor shall not engage another processor without prior specific or general written authorisation of the controller.,,,,,,,
OBL-0219,Article 39,Those implementing acts shall be adopted in accordance with the examination procedure set out in Article 93(2).,,,,,,,
OBL-0402,Article 67,The Chair of the Board shall communicate to the Commission the activities of the Board.,,,,,,,
OBL-0270,Article 46,Such mechanisms shall include data protection audits and methods for ensuring corrective actions to protect the rights of the data subject.,,,,,,,
OBL-0326,CHAPTER VII,The lead supervisory authority shall cooperate with the other supervisory authorities concerned in accordance with this Article in an endeavour to reach consensus.,,,,,,,
OBL-0044,Article 6,(c) processing is necessary for compliance with a legal obligation to which the controller is subject;,,,,,,,
OBL-0024,Preamble,"While that obligation produces administrative and financial burdens, it did not in all cases contribute to improving the protection of personal data.",,,,,,,
OBL-0135,Article 25,"That obligation applies to the amount of personal data collected, the extent of their processing, the period of their storage and their accessibility.",,,,,,,
OBL-0201,Section 4,The controller or the processor shall publish the contact details of the data protection officer and communicate them to the supervisory authority.,,,,,,,
OBL-0332,CHAPTER VII,That revised draft decision shall be subject to the procedure referred to in paragraph 4 within a period of two weeks.,,,,,,,
OBL-0401,Article 67,The Commission shall designate a representative.,,,,,,,
OBL-0416,Article 64,"The Board shall take decisions by a simple majority of its members, unless otherwise provided for in this Regulation.",,,,,,,
OBL-0352,Article 61,Requested supervisory authorities shall not charge a fee for any action taken by them pursuant to a request for mutual assistance.,,,,,,,
OBL-0385,Article 64,It shall inform the Commission thereof.,,,,,,,
OBL-0093,Article 14,Paragraphs 1 to 4 shall not apply where and insofar as: (a) the data subject already has the information;,,,,,,,
OBL-0323,Article 17,"Article 59 Activity reports Each supervisory authority shall draw up an annual report on its activities, which may include a list of types of infringement notified and types of measures taken in accordance with Article 58(2).",,,,,,,
OBL-0276,Article 48,"Where the register is intended for consultation by persons having a legitimate interest, the transfer shall be made only at the request of those persons or if they are to be the recipients.",,,,,,,
OBL-0164,Article 32,"The controller or the processor and, where applicable, the controller's or the processor's representative, shall make the record available to the supervisory authority on request.",,,,,,,
OBL-0117,Article 19,That right shall not apply to processing necessary for the performance of a task carried out in the public interest or in the exercise of official authority vested in the controller.,,,,,,,
OBL-0076,Article 11,The controller shall provide information on action taken on a request under Articles 15 to 22 to the data subject without undue delay and in any event within one month of receipt of the request.,,,,,,,
OBL-0096,Article 14,"or (d) where the personal data must remain confidential subject to an obligation of professional secrecy regulated by Union or Member State law, including a statutory obligation of secrecy.",,,,,,,
OBL-0266,Article 46,"Decisions adopted by the Commission on the basis of Article 26(4) of Directive 95/46/EC shall remain in force until amended, replaced or repealed, if necessary, by a Commission Decision adopted in accordance with paragraph 2 of this Article.",,,,,,,
