clause_id,section,source_text,human_subject,human_obligation,human_condition,human_threshold,human_deadline,human_exception,notes
OBL-0010,Preamble,Compliance Obligation 6.,,,,,,,heading fragment: 'Compliance Obligation 6.'
OBL-0315,Section 2,213 Disclosure Obligation is tailored to the recommendation and also given at relevant points in time).,,,,,,,sentence fragment with footnote number; incomplete
OBL-0105,Section 913,ahead of the retail customer” to certain provisions of the Care Obligation.,,,,,,,sentence fragment; partial quote
OBL-0063,Section II,"69 See Section II.C.1.a, Disclosure Obligation, Material Facts Regarding Scope and Terms of the Relationship.",,,,,,,footnote / cross-reference
OBL-0641,Section III,"The Care Obligation incorporates and adds to existing suitability requirements applicable to broker-dealers, thereby reducing the incidence of inefficient recommendations to retail customers.",,,,,,,descriptive statement about what the Care Obligation does
OBL-0730,Section V,The obligation indirectly benefits retail customers by ensuring that broker-dealers have sufficient internal controls in place to support compliance with Regulation Best Interest.,,,,,,,descriptive statement about benefits of the obligation
OBL-0005,Preamble,Conflict of Interest Obligation 4.,,,,,,,heading fragment
OBL-0744,Section IV,The disclosures will be made pursuant to the Disclosure Obligation and are not expected to trigger record-making or recordkeeping obligations outside the Disclosure Obligation.,,,,,,,"descriptive statement; future tense, not an obligation"
OBL-0584,Section 7,FINRA Rule 2821 (Sales Practices for Deferred Variable Annuities including a Suitability Obligation).,,,,,,,citation/reference to FINRA Rule 2821
OBL-0854,Section II,"and (4) memorialized oral disclosures under the circumstances outlined in Section II.C.1, Disclosure Obligation, Oral Disclosure or Disclosure After a Recommendation.",,,,,,,fragmentary list item '(4)'
OBL-0412,Section 206,"and “remov[ing] the ‘control’ element for purposes of quantitative suitability, which would make this obligation more enforceable.”) (internal citations omitted).",,,,,,,fragment of a quoted commenter statement
OBL-0786,Section III,"The collections of information associated with the Disclosure Obligation, as well as the associated record-making and recordkeeping obligations are addressed below.",,,,,,,forward-reference / navigational sentence
OBL-0592,Section 7,"See Sunita Sah & George Loewenstein, Nothing to Declare: Mandatory and Voluntary Disclosure Leads Advisors to Avoid Conflicts of Interest, 25 PSYCH.",,,,,,,academic citation
OBL-0499,Section 206,Some commenters also suggested that the obligation to address conflicts of interest should be harmonized between broker-dealers and investment advisers.,,,,,,,describes commenter suggestion
OBL-0156,Section 913,(2) the Care Obligation;,,,,,,,fragmentary list item '(2) the Care Obligation;'
OBL-0015,Preamble,Conflict of Interest Obligation 4.,,,,,,,"heading fragment (duplicate numbering, different clause_id)"
OBL-0071,Section II,Conflict of Interest Obligation.,,,,,,,heading fragment
OBL-0079,Section II,"77 See generally Section II.C.3.g, Conflict of Interest Obligation, Elimination of Certain Conflicts of Interest.",,,,,,,footnote / cross-reference
OBL-0413,Section 206,"573 See infra Section II.C.2.c, Application of the Care Obligation – Reasonably Available Alternatives and Otherwise Identical Securities.",,,,,,,footnote / cross-reference
OBL-0123,Section 15,Key Terms and Scope of Best Interest Obligation 1.,,,,,,,heading fragment
OBL-0903,Section 240,(a) Best interest obligation.,,,,,,,heading fragment: '(a) Best interest obligation.'
OBL-0146,Section 913,"115 Obligation,248 we believe broker-dealers are able to obtain sufficient facts to determine the purpose for which a recommendation will be used.",,,,,,,"fragment with broken citation; belief/discussion, not obligation"
OBL-0872,Section II,"But in fact, it would be one of many changes (and importantly, a major change) that smaller firms must address.",,,,,,,hypothetical/comparative discussion; 'must address' in speculative context
OBL-0728,Section V,1305 These policies and procedures are in addition to the policies and procedures required under the Conflict of Interest Obligation.,,,,,,,descriptive statement about relationship between policies
OBL-0081,Section II,General Compliance Obligation.,,,,,,,heading fragment
OBL-0732,Section V,Broker-dealers may incur operational costs related to training their associated persons and developing policies and procedures to ensure compliance with the Care Obligation.,,,,,,,descriptive/cost statement; 'may incur' is permissive
OBL-0283,Section 2,"197 proposed standard, arguing that it was not as broad as the disclosure obligation applicable to investment advisers.",,,,,,,fragment with footnote number; describes commenter argument
OBL-0157,Section 913,(3) the Conflict of Interest Obligation;,,,,,,,fragmentary list item '(3) the Conflict of Interest Obligation;'
OBL-0778,Section III,"However, this alternative would not impose either the Care Obligation or the Conflict of Interest Obligation.",,,,,,,descriptive statement about a hypothetical alternative
OBL-0069,Section II,"Accordingly, we focus on how a broker-dealer could establish a reasonable basis to believe that a recommendation is in the best interest of its retail customer and does not place the 73 See generally Section II.C.2, Care Obligation.",,,,,,,meta-discussion; 'we focus on how'
OBL-0087,Section II,"and, applying the Care Obligation to a series of recommended transactions (currently referred to as “quantitative suitability”) irrespective of whether a broker-dealer exercises actual or de facto control over a customer’s account;",,,,,,,fragmentary list item; gerund clause 'applying the Care Obligation...'
OBL-0216,Section 913,"Specifically, we are revising the Disclosure Obligation to require disclosure of “all material facts relating to the scope and terms of the relationship with the retail 364 See Proposing Release at 21600.",,,,,,,meta-commentary about revision of Disclosure Obligation
OBL-0325,Section 2,"Similar to the proposal, in lieu of setting explicit requirements by rule for what constitutes full and fair disclosure of all material facts, we are providing broker-dealers flexibility in determining the most appropriate way to meet the Disclosure Obligation depending on each broker-dealer’s specific business practices.",,,,,,,meta-commentary about rule-making approach
OBL-0111,Section 15,"28, 2010) (adopting amendments to Form ADV and stating that “under the Advisers Act, an adviser is a fiduciary whose duty is to serve the best interests of its clients, which includes an obligation not to subrogate clients’ interests to its own,” citing Investment Advisers Act Release 2106).",,,,,,,parenthetical citation / quote
OBL-0615,Section III,"539 dealers.1213 For example, if an increase in comparability promotes competition on the basis of recommendation quality, it may cause broker-dealers to mitigate or eliminate conflicts even in cases where the Conflict of Interest Obligation does not expressly require policies and procedures to mitigate or eliminate such conflicts.",,,,,,,hypothetical/descriptive commentary
OBL-0712,Section III,"The Commission also acknowledges the potential costs of limited menus of securities by expanding the Conflict of Interest Obligation to include requirements that would address specifically limited menus of securities and by providing a detailed analysis of the economic implications of these requirements, below.",,,,,,,descriptive statement about Commission action
OBL-0902,Section III,"The Commission further considered requiring broker-dealers to use a specific form for disclosure, similar to, for example, Form ADV Part II in lieu of the flexible approach of the Disclosure Obligation, or in the alternative, developing a disclosure-only standard, which would require that broker-dealers satisfy only the Disclosure Obligation of the final rule.",,,,,,,describes alternatives the Commission considered
OBL-0680,Section III,"Similarly, by addressing the effect of certain conflicts of interest through mitigation, the Conflict of Interest Obligation is intended to reduce the effect incentives created by those conflicts may have on a recommendation provided to the retail customer.",,,,,,,describes intent of the Conflict of Interest Obligation
OBL-0739,Section IV,The requirement to create certain written records of information collected from or provided to a retail customer under the Disclosure Obligation will trigger a record-making obligation under paragraph (a)(35) of Rule 17a-3 and a recordkeeping obligation under Rule 17a- 4(e)(5) that may impose additional compliance costs on broker-dealers.,,,,,,,describes trigger of record-making and recordkeeping obligations
OBL-0769,Section III,"The paper also observes that a state-level obligation on broker-dealers may cause a compositional shift in the pool of variable annuities sold by broker-dealers toward annuities that offer a larger and more diverse set of investment options, which, in certain circumstances, may also generate higher expected returns for retail customers.",,,,,,,descriptive reference to an academic paper's observations
OBL-0711,Section III,"To the extent broker- dealers eliminate inferior investments from their securities menus as a result of complying with the Conflict of Interest Obligation, Regulation Best Interest would provide a benefit for the retail customers of these broker-dealers.",,,,,,,hypothetical benefit statement
OBL-0549,Section 206,See also AFL-CIO April 2019 Letter (“The Commission must provide greater clarity regarding how the obligation to eliminate or mitigate conflicts would apply to different types of conflicts.,,,,,,,quoted commenter (AFL-CIO) letter fragment
OBL-0738,Section IV,"The Commission is amending Rules 17a-3 and 17a-4 of the Exchange Act, which specify minimum requirements with respect to the records that broker-dealers must make, and how long those records and other documents must be kept, respectively.",,,,,,,describes Commission rule amendments to 17a-3 and 17a-4
OBL-0825,Section IV,"Training As discussed in the Proposing Release, we expect that broker-dealers would develop training programs to comply with Regulation Best Interest, including the Conflict of Interest Obligation.",,,,,,,expectation statement ('we expect that broker-dealers would...')
OBL-0628,Section III,"548 include the time spent documenting such disclosures, the development of systems and processes necessary to document such disclosures, training associated persons to use these systems and processes, and supervising the compliance by associated persons with this obligation.",,,,,,,fragmentary list of activities/costs
OBL-0525,Section 206,It is also unclear what constitutes a ‘small choice of investments.’ Additional examples or more prescriptive instructions regarding when firms must disclose such limitations would be helpful.”).,,,,,,,quoted commenter statement
