clause_id,section,source_text,human_subject,human_obligation,human_condition,human_threshold,human_deadline,human_exception,notes
OBL-0010,Preamble,Compliance Obligation 6.,,,,,,,
OBL-0315,Section 2,213 Disclosure Obligation is tailored to the recommendation and also given at relevant points in time).,,,,,,,
OBL-0105,Section 913,ahead of the retail customer” to certain provisions of the Care Obligation.,,,,,,,
OBL-0652,Section III,"Instead they must exercise reasonable diligence, care, and skill in making such recommendations.",,,,,,,
OBL-0401,Section 206,Elevating cost to the rule text clarifies that this factor must always be considered when making a recommendation.,,,,,,,
OBL-0063,Section II,"69 See Section II.C.1.a, Disclosure Obligation, Material Facts Regarding Scope and Terms of the Relationship.",,,,,,,
OBL-0641,Section III,"The Care Obligation incorporates and adds to existing suitability requirements applicable to broker-dealers, thereby reducing the incidence of inefficient recommendations to retail customers.",,,,,,,
OBL-0730,Section V,The obligation indirectly benefits retail customers by ensuring that broker-dealers have sufficient internal controls in place to support compliance with Regulation Best Interest.,,,,,,,
OBL-0005,Preamble,Conflict of Interest Obligation 4.,,,,,,,
OBL-0744,Section IV,The disclosures will be made pursuant to the Disclosure Obligation and are not expected to trigger record-making or recordkeeping obligations outside the Disclosure Obligation.,,,,,,,
OBL-0584,Section 7,FINRA Rule 2821 (Sales Practices for Deferred Variable Annuities including a Suitability Obligation).,,,,,,,
OBL-0854,Section II,"and (4) memorialized oral disclosures under the circumstances outlined in Section II.C.1, Disclosure Obligation, Oral Disclosure or Disclosure After a Recommendation.",,,,,,,
OBL-0412,Section 206,"and “remov[ing] the ‘control’ element for purposes of quantitative suitability, which would make this obligation more enforceable.”) (internal citations omitted).",,,,,,,
OBL-0786,Section III,"The collections of information associated with the Disclosure Obligation, as well as the associated record-making and recordkeeping obligations are addressed below.",,,,,,,
OBL-0592,Section 7,"See Sunita Sah & George Loewenstein, Nothing to Declare: Mandatory and Voluntary Disclosure Leads Advisors to Avoid Conflicts of Interest, 25 PSYCH.",,,,,,,
OBL-0499,Section 206,Some commenters also suggested that the obligation to address conflicts of interest should be harmonized between broker-dealers and investment advisers.,,,,,,,
OBL-0156,Section 913,(2) the Care Obligation;,,,,,,,
OBL-0015,Preamble,Conflict of Interest Obligation 4.,,,,,,,
OBL-0071,Section II,Conflict of Interest Obligation.,,,,,,,
OBL-0079,Section II,"77 See generally Section II.C.3.g, Conflict of Interest Obligation, Elimination of Certain Conflicts of Interest.",,,,,,,
OBL-0413,Section 206,"573 See infra Section II.C.2.c, Application of the Care Obligation – Reasonably Available Alternatives and Otherwise Identical Securities.",,,,,,,
OBL-0123,Section 15,Key Terms and Scope of Best Interest Obligation 1.,,,,,,,
OBL-0903,Section 240,(a) Best interest obligation.,,,,,,,
OBL-0146,Section 913,"115 Obligation,248 we believe broker-dealers are able to obtain sufficient facts to determine the purpose for which a recommendation will be used.",,,,,,,
OBL-0872,Section II,"But in fact, it would be one of many changes (and importantly, a major change) that smaller firms must address.",,,,,,,
OBL-0728,Section V,1305 These policies and procedures are in addition to the policies and procedures required under the Conflict of Interest Obligation.,,,,,,,
OBL-0081,Section II,General Compliance Obligation.,,,,,,,
OBL-0476,Section 206,"299 independently,”665 we note that both the firm and their associated persons have to comply with the Care Obligation.",,,,,,,
OBL-0732,Section V,Broker-dealers may incur operational costs related to training their associated persons and developing policies and procedures to ensure compliance with the Care Obligation.,,,,,,,
OBL-0283,Section 2,"197 proposed standard, arguing that it was not as broad as the disclosure obligation applicable to investment advisers.",,,,,,,
OBL-0157,Section 913,(3) the Conflict of Interest Obligation;,,,,,,,
OBL-0778,Section III,"However, this alternative would not impose either the Care Obligation or the Conflict of Interest Obligation.",,,,,,,
OBL-0024,Section II,"(2) exercising reasonable diligence, care, and skill in making the recommendation (“Care Obligation”);",,,,,,,
OBL-0069,Section II,"Accordingly, we focus on how a broker-dealer could establish a reasonable basis to believe that a recommendation is in the best interest of its retail customer and does not place the 73 See generally Section II.C.2, Care Obligation.",,,,,,,
OBL-0677,Section III,"At a minimum, a broker-dealer is required to address the effect of an identified conflict on a recommendation by disclosing the material facts associated with that conflict and by disclosing material limitations of the menu of securities when the conflict stems from such limitations.",,,,,,,
OBL-0087,Section II,"and, applying the Care Obligation to a series of recommended transactions (currently referred to as “quantitative suitability”) irrespective of whether a broker-dealer exercises actual or de facto control over a customer’s account;",,,,,,,
OBL-0247,Section 913,"Levinson: information related to the type and scope of services provided is material, and must be disclosed, if there is “a substantial likelihood that a reasonable shareholder would consider it important.”388 As noted above, in the context of Regulation Best Interest, this standard would apply in the context of retail customers, as defined.",,,,,,,
OBL-0216,Section 913,"Specifically, we are revising the Disclosure Obligation to require disclosure of “all material facts relating to the scope and terms of the relationship with the retail 364 See Proposing Release at 21600.",,,,,,,
OBL-0355,Section 2,"In response, we note that the Disclosure Obligation requires disclosure to be provided prior to or at the time of the recommendation and is not tied to a contractual relationship.",,,,,,,
OBL-0325,Section 2,"Similar to the proposal, in lieu of setting explicit requirements by rule for what constitutes full and fair disclosure of all material facts, we are providing broker-dealers flexibility in determining the most appropriate way to meet the Disclosure Obligation depending on each broker-dealer’s specific business practices.",,,,,,,
OBL-0111,Section 15,"28, 2010) (adopting amendments to Form ADV and stating that “under the Advisers Act, an adviser is a fiduciary whose duty is to serve the best interests of its clients, which includes an obligation not to subrogate clients’ interests to its own,” citing Investment Advisers Act Release 2106).",,,,,,,
OBL-0615,Section III,"539 dealers.1213 For example, if an increase in comparability promotes competition on the basis of recommendation quality, it may cause broker-dealers to mitigate or eliminate conflicts even in cases where the Conflict of Interest Obligation does not expressly require policies and procedures to mitigate or eliminate such conflicts.",,,,,,,
OBL-0712,Section III,"The Commission also acknowledges the potential costs of limited menus of securities by expanding the Conflict of Interest Obligation to include requirements that would address specifically limited menus of securities and by providing a detailed analysis of the economic implications of these requirements, below.",,,,,,,
OBL-0137,Section 15,"As a result, such recommendations must be made consistent with the retail customer’s objectives and needs (i.e., investment profile), irrespective of whether those recommendations are tied to a specific securities transaction.",,,,,,,
OBL-0902,Section III,"The Commission further considered requiring broker-dealers to use a specific form for disclosure, similar to, for example, Form ADV Part II in lieu of the flexible approach of the Disclosure Obligation, or in the alternative, developing a disclosure-only standard, which would require that broker-dealers satisfy only the Disclosure Obligation of the final rule.",,,,,,,
OBL-0680,Section III,"Similarly, by addressing the effect of certain conflicts of interest through mitigation, the Conflict of Interest Obligation is intended to reduce the effect incentives created by those conflicts may have on a recommendation provided to the retail customer.",,,,,,,
OBL-0743,Section IV,"As noted above, the Conflict of Interest Obligation requires broker-dealers to establish policies and procedures that are reasonably designed to address conflicts of interest, including disclosing material facts associated with the conflicts.",,,,,,,
OBL-0739,Section IV,The requirement to create certain written records of information collected from or provided to a retail customer under the Disclosure Obligation will trigger a record-making obligation under paragraph (a)(35) of Rule 17a-3 and a recordkeeping obligation under Rule 17a- 4(e)(5) that may impose additional compliance costs on broker-dealers.,,,,,,,
OBL-0769,Section III,"The paper also observes that a state-level obligation on broker-dealers may cause a compositional shift in the pool of variable annuities sold by broker-dealers toward annuities that offer a larger and more diverse set of investment options, which, in certain circumstances, may also generate higher expected returns for retail customers.",,,,,,,
OBL-0128,Section 15,"167 An agreement to provide account monitoring services to a retail customer is not required to be in writing (although whether or not the broker-dealer is providing account monitoring services, and, if so, the scope and frequency of such monitoring services, must be disclosed in writing pursuant to the Disclosure Obligation).",,,,,,,
OBL-0711,Section III,"To the extent broker- dealers eliminate inferior investments from their securities menus as a result of complying with the Conflict of Interest Obligation, Regulation Best Interest would provide a benefit for the retail customers of these broker-dealers.",,,,,,,
OBL-0549,Section 206,See also AFL-CIO April 2019 Letter (“The Commission must provide greater clarity regarding how the obligation to eliminate or mitigate conflicts would apply to different types of conflicts.,,,,,,,
OBL-0871,Section II,"Thus, a broker-dealer’s policies and procedures must address not only conflicts of interest but also compliance with its Disclosure and Care Obligations under Regulation Best Interest.",,,,,,,
OBL-0738,Section IV,"The Commission is amending Rules 17a-3 and 17a-4 of the Exchange Act, which specify minimum requirements with respect to the records that broker-dealers must make, and how long those records and other documents must be kept, respectively.",,,,,,,
OBL-0825,Section IV,"Training As discussed in the Proposing Release, we expect that broker-dealers would develop training programs to comply with Regulation Best Interest, including the Conflict of Interest Obligation.",,,,,,,
OBL-0391,Section 206,"Failure to do so could 244 either orally, or after a recommendation, such disclosure must be made under the circumstances outlined in Section II.C.1, Oral Disclosure or Disclosure After a Recommendation.",,,,,,,
OBL-0628,Section III,"548 include the time spent documenting such disclosures, the development of systems and processes necessary to document such disclosures, training associated persons to use these systems and processes, and supervising the compliance by associated persons with this obligation.",,,,,,,
OBL-0754,Section IV,"For example, relative to the regulatory baseline, the Care Obligation requires that a broker-dealer and its associated persons consider costs, among other factors, and establish a direct link between the attributes of a security or investment strategy and the retail customer’s best interest.",,,,,,,
OBL-0796,Section IV,Initial Costs and Burdens 1394 A broker-dealer or an associated person may satisfy the Disclosure Obligation by using oral disclosure if it has previously provided written disclosure to the retail customer beforehand as well as the method it planned to use to clarify the disclosure at the time of the recommendation.,,,,,,,
OBL-0525,Section 206,It is also unclear what constitutes a ‘small choice of investments.’ Additional examples or more prescriptive instructions regarding when firms must disclose such limitations would be helpful.”).,,,,,,,
OBL-0220,Section 913,"As noted above, the standard for materiality for purposes of the Disclosure Obligation is consistent with the one the Supreme Court articulated in Basic v.",,,,,,,
OBL-0178,Section 913,"Although Regulation Best Interest requires that the Disclosure Obligation be made “in writing,” we recognize the challenges associated with providing written disclosure in each instance that disclosure may be required.",,,,,,,
OBL-0114,Section 15,"69 As articulated in the Proposing Release, we appreciate the desire for clarity about the requirements imposed by Regulation Best Interest, and we have sought to provide such clarity by specifying by rule the specific components with which a broker-dealer is required to comply to satisfy its best interest obligation.",,,,,,,
OBL-0867,Section II,"Additionally, the policies and procedures must be reasonably designed to mitigate conflicts of interests that create an incentive for an associated person of the broker-dealer to place its interests or the interest of the firm ahead of the retail 729 customer’s interest.",,,,,,,
OBL-0379,Section 206,But see NASAA August 2018 Letter (stating that only a transaction-by-transaction disclosure obligation will ensure that broker-dealers are meeting their “best interest” duties and provide investors the level of protection they deserve);,,,,,,,
OBL-0685,Section III,"Overarching Obligation Related to Conflicts of Interest The overarching obligation of the Conflict of Interest Obligation states that broker- dealers must establish, maintain, and enforce written policies and procedures reasonably designed to identify and at a minimum disclose, or eliminate, all conflicts of interest associated with recommendations to retail customers.",,,,,,,
OBL-0406,Section 206,"While certain cases and guidance have interpreted FINRA’s suitability rule to require that “a broker's recommendations must be consistent with his customers' best interests,” and FINRA has further interpreted the requirement to be “consistent with the customer’s best interest” to prohibit a broker-dealer from placing his or her interests ahead of the customer's interests, this obligation is not explicitly 569 See id.",,,,,,,
OBL-0501,Section 206,"This ambiguity, while designed to give maximum flexibility to broker-dealers, may in fact result in inconsistent application of the Proposed Rule nationwide and further add to the existing confusion.”) 314 believe this approach is appropriate, for the reasons discussed in the Proposing Release703 and also believe that our revised Conflict of Interest Obligation provides more specificity about how to address specific conflicts of interest, in conjunction with our Disclosure Obligation, which should address commenters’ concerns.",,,,,,,
OBL-0277,Section 2,"Standard of Conduct415 As stated in the Proposing Release, the Commission intended the Relationship Summary to touch on issues that are also contemplated under the Disclosure Obligation, such as facilitating greater awareness of key aspects of a relationship with a firm or financial professional, such as the applicable standard of conduct.416 Several commenters on Regulation Best Interest also requested that the Commission treat the standard of conduct applicable to a broker-dealer making the recommendation to its retail customer as a “material fact relating to the scope and terms of the relationship” that would likely need to be disclosed prior to, or at the time of the 415 See Section II.C.1.a, Disclosure Obligation, Capacity in Which the Broker-Dealer is Acting.",,,,,,,
OBL-0828,Section IV,"Compliance Obligation As discussed above, in response to comments that we should require policies and procedures to comply with Regulation Best Interest as a whole, we are adopting the Compliance Obligation.1515 The Compliance Obligation requires that the broker-dealer1516 establish, 1511 This estimate is based on the following calculation: (128,160 initial burden hours for policies and procedures) + (69,150 initial burden hours for identification and management of conflicts of interest) = 197,310 initial burden hours to comply with the Conflict of Interest Obligation.",,,,,,,
OBL-0124,Section 15,"155 However, as discussed below, it is our position that when a broker-dealer agrees with a retail customer to provide account monitoring services: (1) the broker-dealer would be required to disclose the material facts (including scope and frequency) of those services pursuant to the Disclosure Obligation, and (2) such agreed-upon account monitoring services involve an implicit recommendation to hold (i.e., an implicit recommendation not to buy, sell, or exchange assets pursuant to that securities account review) at the time agreed-upon monitoring occurs, which is a recommendation “of any securities transaction or investment strategy involving securities” covered by Regulation Best Interest.",,,,,,,
OBL-0763,Section III,"This approach was advocated by certain commenters, many of whom asserted that it would reduce retail investor confusion as it would ensure that investors are provided the same standard of care and loyalty regardless of what type of financial professional they engage.1338 As discussed above and in detail further below we believe, in practice, that such uniformity would be difficult to implement and disruptive to pursue as a result of various factors, including the key differences in the ways broker-dealers and investment 1337 See Proposing Release at footnotes 328-329.",,,,,,,
OBL-0174,Section 913,"For purposes of Form CRS, “retail investor” is defined as “a natural person, or the legal representative of such natural person, who seeks to receive or receives services primarily for personal, family, or household purposes.” 297 Nevertheless, as discussed below where relevant, in some instances disclosures made pursuant to Form CRS may be sufficient to satisfy some aspects of the Disclosure Obligation.",,,,,,,
OBL-0436,Section 206,"Factors to Consider Regarding a Recommendation to a Particular Retail Customer and Relevance of Cost Consistent with paragraph (a)(2)(ii)(A) of the Care Obligation, we are incorporating “costs” in the rule text of paragraph (a)(2)(ii)(B) of Regulation Best Interest as a relevant factor that, in addition to risks and rewards, must always be understood and considered by the broker- 606 See related discussion in Section II.A.2;",,,,,,,
OBL-0663,Section III,"563 Commenters stated that our analysis should not consider lost revenue as a cost of complying with Regulation Best Interest, except to the extent that the lost revenue is passed on to investors in the form of higher fees, because these types of costs are a direct result of policies that make investors better off.1253 As discussed above, our economic analysis must consider the costs Regulation Best Interest may impose on all affected parties, including broker-dealers.",,,,,,,
OBL-0497,Section 206,"In response, many commenters suggested that the scope of the description of financial incentives be narrowed as it was too broad and requested guidance or examples of material conflicts of interest that would not fall within the description of financial incentives.695 Specifically, a number of commenters suggested that the mitigation obligation should focus on financial incentives at the registered representative level as opposed to the firm level.696 A number of commenters suggested that the distinction between material conflicts and financial incentives should be removed altogether.697 Commenters also stated that the mitigation requirement is a higher standard of conduct than the 694 See Proposing Release at 21617.",,,,,,,
