clause_id,section,source_text,claude_subject,claude_obligation,claude_condition,claude_threshold,claude_deadline,claude_exception,human_subject,human_obligation,human_condition,human_threshold,human_deadline,human_exception,notes
OBL-0198,Preamble,(e) Data on loss rates for the sub-portfolio must be retained in order to allow analysis of the volatility of loss rates.,financial institutions,Data on loss rates for the sub-portfolio must be retained in order to allow analysis of the volatility of loss rates,for the sub-portfolio,,,,,,,,,,
OBL-0053,Preamble,or (ii) where the sovereign or PSEs involved have the legal powers and ability to ensure that the property under construction will be finished.,sovereign or PSEs,ensure that the property under construction will be finished,where the sovereign or PSEs involved have the legal powers and ability,,,,,,,,,,
OBL-0407,Section XI,Areas of responsibility must include: • Testing and monitoring internal grades;,Areas of responsibility,Testing and monitoring internal grades,Areas of responsibility must include,,,,,,,,,,
OBL-0372,Section XI,"In addition, banks must initiate a new rating if material information on the borrower or facility comes to light.",banks,must initiate a new rating,if material information on the borrower or facility comes to light,,,,,,,,,,
OBL-0350,Section XI,• The bank must have procedures for human review of model-based rating assignments.,The bank,must have procedures for human review of model-based rating assignments,,,,,,,,,,,
OBL-0242,Section XI,"Thus, the adjusted risk weight must not be less than that of a comparable direct exposure to the protection provider.",the adjusted risk weight,the adjusted risk weight must not be less than that of a comparable direct exposure to the protection provider,,must not be less than that of a comparable direct exposure to the protection provider,,,,,,,,,
OBL-0187,Preamble,• The terms of the obligation give the lender a substantial degree of control over the asset(s) and the income that it generates;,lender,give the lender a substantial degree of control over the asset(s) and the income that it generates,the terms of the obligation,substantial degree of control,,,,,,,,,
OBL-0158,Preamble,48 Basel III: Finalising post-crisis reforms (b) The guarantee is an explicitly documented obligation assumed by the guarantor.,the guarantor,is an explicitly documented obligation assumed by the guarantor,when providing a guarantee,,,,,,,,,,
OBL-0557,Section XI,Banks must also use other quantitative validation tools and comparisons with relevant external data sources.,Banks,must use other quantitative validation tools and comparisons with relevant external data sources,,,,,,,,,,,
OBL-0070,Preamble,20 Basel III: Finalising post-crisis reforms • Value of the property: the valuation must be appraised independently40 using prudently conservative valuation criteria.,the valuation,the valuation must be appraised independently using prudently conservative valuation criteria,Value of the property,,,,,,,,,,
OBL-0063,Preamble,and (iv) the bank shall be contractually and legally allowed to take a mortgage on the property in the event that the guarantor fails.,the bank,shall be contractually and legally allowed to take a mortgage on the property,in the event that the guarantor fails,,,,,,,,,,
OBL-0168,Preamble,(f) The identity of the parties responsible for determining whether a credit event has occurred must be clearly defined.,identity of the parties responsible for determining whether a credit event has occurred,must be clearly defined,identity of the parties,,,,,,,,,,
OBL-0344,Section XI,The variables that are input to the model must form a reasonable set of predictors.,The variables that are input to the model,The variables that are input to the model must form a reasonable set of predictors,,,,,,,,,,,
OBL-0360,Section XI,"If the bank employs statistical models in the rating process, the bank must document their methodologies.",the bank,must document their methodologies,If the bank employs statistical models in the rating process,,,,,,,,,,
OBL-0655,Section XI,• The current and historical market data must be acquired independently of the lines of business and be compliant with accounting.,The current and historical market data,The current and historical market data must be acquired independently of the lines of business and be compliant with accounting,,,,,,,,,,,
OBL-0054,Preamble,• Legal enforceability: any claim on the property taken must be legally enforceable in all relevant jurisdictions.,,any claim on the property taken must be legally enforceable in all relevant jurisdictions,when property is taken,,,,,,,,,,
