clause_id,doc_id,text,subject_gt,obligation_gt,condition_gt,threshold_gt,deadline_gt,exception_gt,human_reviewed
OBL-0328,gdpr,"The lead supervisory authority shall, without delay, communicate the relevant information on the matter to the
other supervisory authorities concerned.",The lead supervisory authority,communicate the relevant information on the matter to the other supervisory authorities concerned,,,without delay,,TRUE
OBL-0058,gdpr,"Where point (a) of Article 6(1) applies, in relation to the offer of information society services directly to a child,
the processing of the personal data of a child shall be lawful where the child is at least 16 years old.",entity offering information society services directly to a child,ensure processing of personal data of a child is lawful,where point (a) of Article 6(1) applies and in relation to the offer of information society services directly to a child,child is at least 16 years old,,,TRUE
OBL-0013,gdpr,"A law as a basis for several processing operations based on a
legal obligation to which the controller is subject or where processing is necessary for the performance of a task
carried out in the public interest or in the exercise of an official authority may be sufficient.",controller,may use a law as basis for processing operations,processing is based on legal obligation to which the controller is subject or processing is necessary for performance of task carried out in public interest or exercise of official authority,,,,TRUE
OBL-0380,gdpr,"The decision referred to in paragraph 1 shall be reasoned and addressed to the lead
supervisory authority and all the supervisory authorities concerned and binding on them.",the decision referred to in paragraph 1,shall be reasoned and addressed to the lead supervisory authority and all the supervisory authorities concerned and binding on them,,,,,TRUE
OBL-0141,gdpr,"Where Article 3(2) applies, the controller or the processor shall designate in writing a representative in the Union.",the controller or the processor,shall designate in writing a representative in the Union,Where Article 3(2) applies,,,,TRUE
OBL-0126,gdpr,"Paragraph 1 shall not apply if the decision:
(a) is necessary for entering into, or performance of, a contract between the data subject and a data controller;",data controller,Paragraph 1 shall not apply,"if the decision is necessary for entering into, or performance of, a contract between the data subject and a data controller",,,"decision is necessary for entering into, or performance of, a contract between the data subject and a data controller",TRUE
OBL-0115,gdpr,"In exercising his or her right to data portability pursuant to paragraph 1, the data subject shall have the right to
have the personal data transmitted directly from one controller to another, where technically feasible.",data subject,shall have the right to have the personal data transmitted directly from one controller to another,"In exercising his or her right to data portability pursuant to paragraph 1, where technically feasible",,,,TRUE
OBL-0072,gdpr,"The controller shall take appropriate measures to provide any information referred to in Articles 13 and 14 and
any communication under Articles 15 to 22 and 34 relating to processing to the data subject in a concise, transparent,
intelligible and easily accessible form, using clear and plain language, in particular for any information addressed
specifically to a child.",The controller,"shall take appropriate measures to provide any information referred to in Articles 13 and 14 and any communication under Articles 15 to 22 and 34 relating to processing to the data subject in a concise, transparent, intelligible and easily accessible form, using clear and plain language",relating to processing to the data subject,,,,TRUE
OBL-0378,gdpr,"The binding decision shall concern all the matters which are the subject of the relevant and
reasoned objection, in particular whether there is an infringement of this Regulation;",,"The binding decision shall concern all the matters which are the subject of the relevant and reasoned objection, in particular whether there is an infringement of this Regulation",relevant and reasoned objection exists,,,,TRUE
OBL-0053,gdpr,The data subject shall have the right to withdraw his or her consent at any time.,data subject,shall have the right to withdraw his or her consent,at any time,,,,TRUE
OBL-0347,gdpr,Information exchanged shall be used only for the purpose for which it was requested.,,use information exchanged only for the purpose for which it was requested,when information is exchanged,,,,TRUE
