clause_id,raw_text_snippet,failure_type,confidence,reason,rif_score
OBL-0001,"General Obligation
1.",CROSS_REFERENCE,0.95,The provided clause text 'General Obligation 1.' is just a header/reference that requires reading the actual regulatory text in another section to extract the substantive obligation details.,0.0
OBL-0003,"Key Terms and Scope of Best Interest Obligation
1.",CROSS_REFERENCE,0.9,"The clause text only shows a section header 'Key Terms and Scope of Best Interest Obligation' but the gold standard contains a detailed obligation about banks assessing counterparty performance, indicating the actual obligation content is referenced elsewhere in the document.",0.0
OBL-0004,"Disclosure Obligation
2.",CROSS_REFERENCE,0.9,"The clause text only contains a header 'Disclosure Obligation 2.' with no substantive content, making the obligation only interpretable via reference to other regulatory text.",0.0
OBL-0006,"Compliance Obligation
D.",IMPLICIT_SUBJECT,0.95,The extracted tuple is completely empty while the gold standard shows a clear subject 'supervisors' that must be implied from context since it's not stated in the minimal clause text provided.,0.0
OBL-0007,"Disclosure Obligation
3.",CROSS_REFERENCE,0.9,"The clause text only shows a header 'Disclosure Obligation 3.' without the actual regulatory content, indicating the full obligation text with subject 'ECA' and specific requirements exists in another paragraph that wasn't provided.",0.0
OBL-0008,"Care Obligation
3
4.",CROSS_REFERENCE,0.9,"The clause text only shows 'Care Obligation 3 4.' which appears to be a section reference rather than the full obligation content, requiring reference to another paragraph to understand the complete requirement.",0.0
OBL-0009,"Conflict of Interest Obligation
5.",CROSS_REFERENCE,0.9,"The clause text only shows a header 'Conflict of Interest Obligation 5.' with no actual content, requiring reference to the full paragraph to understand the complete obligation about MDBs and AAA rating criteria.",0.0
OBL-0010,"Compliance Obligation
6.",CROSS_REFERENCE,0.9,The obligation contains 'in accordance with paragraph 21' making it only interpretable via another paragraph reference.,0.0
OBL-0011,"Disclosure Obligation
2.",CROSS_REFERENCE,0.9,"The clause text only shows a header 'Disclosure Obligation 2.' without the actual obligation content, indicating the full obligation text is located elsewhere and requires cross-referencing to interpret.",0.0
OBL-0013,"Compliance Obligation
5.",CROSS_REFERENCE,0.9,"The clause text only contains a header 'Compliance Obligation 5.' without the actual obligation content, indicating the full obligation text is located elsewhere and requires cross-referencing to interpret.",0.0
