clause_id,doc_id,section,text,subject_gt,obligation_gt,condition_gt,threshold_gt,deadline_gt,exception_gt,human_reviewed
OBL-0001,basel3,Preamble,"Securitisation exposures are addressed in the securitisation standard.1 Credit equivalent amounts
of OTC derivatives, exchange traded derivatives and long-settlement transactions that expose a bank to
counterparty credit risk2 are to be calculated under the counterparty credit risk standards.3 Equity
investments in funds and exposures to central counterparties must be treated according to their own
specific frameworks.4
1 The securitisation standard is available at www.bis.org/bcbs/publ/d374.pdf",bank,calculate credit equivalent amounts under counterparty credit risk standards for derivatives and long-settlement transactions,"for OTC derivatives, exchange traded derivatives, and long-settlement transactions that expose to counterparty credit risk",,,,TRUE
OBL-0002,basel3,Preamble,"Consistent with the Committee’s guidance on the assessment of credit risk5 and paragraphs 733
to 735 of the Basel II framework (June 2006), banks must perform due diligence to ensure that they have
an adequate understanding, at origination and thereafter on a regular basis (at least annually), of the risk
profile and characteristics of their counterparties.",banks,must perform due diligence to ensure that they have an adequate understanding of the risk profile and characteristics of their counterparties,at origination and thereafter on a regular basis,at least annually,,,TRUE
OBL-0003,basel3,Preamble,"Banks must take reasonable and adequate steps to assess the
operating and financial performance levels and trends through internal credit analysis and/or other
analytics outsourced to a third party, as appropriate for each counterparty.",Banks,must take reasonable and adequate steps to assess the operating and financial performance levels and trends through internal credit analysis and/or other analytics outsourced to a third party,as appropriate for each counterparty,,,,TRUE
OBL-0004,basel3,Preamble,"Banks must be able to access
information about their counterparties on a regular basis to complete due diligence analyses.",Banks,must be able to access information about their counterparties to complete due diligence analyses,on a regular basis,,,,TRUE
OBL-0005,basel3,Preamble,"Banks must be able to demonstrate to
their supervisors that their due diligence analyses are appropriate.",Banks,must be able to demonstrate to their supervisors that their due diligence analyses are appropriate,,,,,TRUE
OBL-0006,basel3,Preamble,"As part of their supervisory review,
supervisors should ensure that banks have appropriately performed their due diligence analyses, and
should take supervisory measures where these have not been done.",supervisors,"ensure that banks have appropriately performed their due diligence analyses, and take supervisory measures where these have not been done",as part of their supervisory review,,,,TRUE
OBL-0007,basel3,Preamble,"To qualify, an ECA must publish its risk
scores and subscribe to the OECD-agreed methodology.",ECA,must publish its risk scores and subscribe to the OECD-agreed methodology,To qualify,,,,TRUE
OBL-0008,basel3,Preamble,"The eligibility criteria for MDBs risk-weighted at 0% are:
(i) very high-quality long-term issuer ratings, ie a majority of an MDB’s external ratings must be
AAA;12
10 The following examples outline how PSEs might be categorised when focusing on one specific feature, namely revenue-raising
powers.",MDBs,must have very high-quality long-term issuer ratings with a majority of external ratings being AAA,for eligibility for 0% risk-weighting,majority of external ratings must be AAA,,,TRUE
OBL-0009,basel3,Preamble,"12 MDBs that request to be added to the list of MDBs eligible for a 0% risk weight must comply with the AAA rating criterion at
the time of the application.",MDBs that request to be added to the list of MDBs eligible for a 0% risk weight,must comply with the AAA rating criterion,request to be added to the list of MDBs eligible for a 0% risk weight,AAA rating criterion,at the time of the application,,TRUE
OBL-0010,basel3,Preamble,"Such ratings must not incorporate assumptions of implicit
government support, unless the rating refers to a public bank owned by its government.16 Banks
incorporated in jurisdictions that allow the use of external ratings for regulatory purposes must only apply
SCRA for their unrated bank exposures, in accordance with paragraph 21.",Banks incorporated in jurisdictions that allow the use of external ratings for regulatory purposes,"must only apply SCRA for their unrated bank exposures, in accordance with paragraph 21",incorporated in jurisdictions that allow the use of external ratings for regulatory purposes,,,,TRUE
